NT,tk_public,tk_class,tk_interface,tk_void,tk_int,tk_boolean,tk_double,tk_string,tk_char ,tk_for,tk_while,tk_do,tk_system,tk_out,tk_println,tk_print,tk_if,tk_else,tk_break,tk_continue,tk_return,tk_static,tk_main,tk_{,tk_},"tk_,",tk_(,tk_),tk_;,tk_=,Tk_.,tk_&&,tk_||,tk_!,tk_^,tk_>,tk_<,tk_>=,tk_<=,tk_==,tk_!=,tk_+,tk_-,tk_*,tk_/,tk_++,tk_--,tk_id,tk_cadena,tk_entero,tk_decimal,tk_caracter,$,tk_comentario_s,tk_comentario_m
PARAMETRO,,,,TIPO tk_id,TIPO tk_id,TIPO tk_id,TIPO tk_id,TIPO tk_id,TIPO tk_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP_METODO,,,,,,,,,,,,,,,,,,,,,,,,tk_{ INSTRUCCIONES tk_},,,,,tk_;,,,,,,,,,,,,,,,,,,,,,,,,,,
DECLARACION,,,,TIPO L_ID tk_;,TIPO L_ID tk_;,TIPO L_ID tk_;,TIPO L_ID tk_;,TIPO L_ID tk_;,TIPO L_ID tk_;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tk_id ASIG L_IDR,,,,,,,
L_IDR,,,,,,,,,,,,,,,,,,,,,,,,,,"tk_, L_ID",,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIG,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,,ε,tk_= EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,
INSTRUCCIONES,,,,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,,,,INSTRUCCION INSTRUCCIONESR,,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTRUCCION INSTRUCCIONESR,,,,,,INSTRUCCION INSTRUCCIONESR,INSTRUCCION INSTRUCCIONESR
INSTRUCCIONESR,,,,INSTRUCCIONES,INSTRUCCIONES,INSTRUCCIONES,INSTRUCCIONES,INSTRUCCIONES,INSTRUCCIONES,INSTRUCCIONES,INSTRUCCIONES,INSTRUCCIONES,INSTRUCCIONES,,,,INSTRUCCIONES,,INSTRUCCIONES,INSTRUCCIONES,INSTRUCCIONES,,,,ε,,,,,,,,,,,,,,,,,,,,,,,INSTRUCCIONES,,,,,,INSTRUCCIONES,INSTRUCCIONES
INSTRUCCION,,,,DECLARACION,DECLARACION,DECLARACION,DECLARACION,DECLARACION,DECLARACION,FOR ,WHILE ,DO,PRINT tk_;,,,,IF,,tk_break tk_;,tk_continue tk_;,tk_return REXP tk_;,,,,,,,,,,,,,,,,,,,,,,,,,,,LLAMADA_ASIG tk_;,,,,,,COMENTARIO,COMENTARIO
REXP,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRESION,,ε,,,,,EXPRESION,,,,,,,,,EXPRESION,,,,,EXPRESION,EXPRESION,EXPRESION,EXPRESION,EXPRESION,,,
PRINT,,,,,,,,,,,,,tk_system tk_. tk_out tk_. TPRINT tk_( EXPRESION tk_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPRINT,,,,,,,,,,,,,,,tk_println,tk_print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLAMADA_ASIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tk_id OP_ASIG_LLAM,,,,,,,
OP_ASIG_LLAM,,,,,,,,,,,,,,,,,,,,,,,,,,,tk_( ARG tk_),,,tk_= EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,
L_ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRESION L_ARGR,,,,,,,EXPRESION L_ARGR,,,,,,,,,EXPRESION L_ARGR,,,,,EXPRESION L_ARGR,EXPRESION L_ARGR,EXPRESION L_ARGR,EXPRESION L_ARGR,EXPRESION L_ARGR,,,
L_ARGR,,,,,,,,,,,,,,,,,,,,,,,,,,"tk_, L_ARG",,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOR,,,,,,,,,,tk_for tk_( FOR_DECLARACION EXPRESION tk_; INCREMENTO  tk_) tk_{ INSTRUCCIONES tk_},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOR_DECLARACION,,,,DECLARACION,DECLARACION,DECLARACION,DECLARACION,DECLARACION,DECLARACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tk_id tk_= EXPRESION tk_;,,,,,,,
INCREMENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRESION INC,,,,,,,EXPRESION INC,,,,,,,,,EXPRESION INC,,,,,EXPRESION INC,EXPRESION INC,EXPRESION INC,EXPRESION INC,EXPRESION INC,,,
INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,tk_= EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,
WHILE,,,,,,,,,,,tk_while tk_( EXPRESION tk_) tk_{ INSTRUCCIONES tk_},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO,,,,,,,,,,,,tk_do tk_{ INSTRUCCIONES tk_} tk_while tk_( EXPRESION tk_) tk_;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF,,,,,,,,,,,,,,,,,tk_if tk_( EXPRESION tk_) tk_{ INSTRUCCIONES tk_} IF_OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IF_OP,,,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,,,,ε,tk_else ELSE,ε,ε,ε,,,,ε,,,,,,,,,,,,,,,,,,,,,,,ε,,,,,,ε,ε
ELSE,,,,,,,,,,,,,,,,,IF,,,,,,,tk_{ INSTRUCCIONES tk_},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXP EXP,,,,,,,TEXP EXP,,,,,,,,,TEXP EXP,,,,,TEXP EXP,TEXP EXP,TEXP EXP,TEXP EXP,TEXP EXP,,,
EXP ,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,,tk_|| TEXP EXP,,tk_^ TEXP EXP,,,,,,,,,,,,,,,,,,,,
TEXP,,,,,,,,,,,,,,,,,,,,,,,,,,,FEXP TEXPP,,,,,,,FEXP TEXPP,,,,,,,,,FEXP TEXPP,,,,,FEXP TEXPP,FEXP TEXPP,FEXP TEXPP,FEXP TEXPP,FEXP TEXPP,,,
TEXPP,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,tk_&& FEXP TEXPP,ε,,ε,,,,,,,,,,,,,,,,,,,,
FEXP,,,,,,,,,,,,,,,,,,,,,,,,,,,ER,,,,,,,tk_! FEXP,,,,,,,,,ER,,,,,ER,ER,ER,ER,ER,,,
E ,,,,,,,,,,,,,,,,,,,,,,,,,,,T EP,,,,,,,,,,,,,,,,T EP,,,,,T EP,T EP,T EP,T EP,T EP,,,
EP,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,ε,ε,,ε,ε,ε,ε,ε,ε,ε,tk_+ T EP,tk_- T EP,,,,,,,,,,,,
T,,,,,,,,,,,,,,,,,,,,,,,,,,,F TP,,,,,,,,,,,,,,,,F TP,,,,,F TP,F TP,F TP,F TP,F TP,,,
TP ,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,tk_* F TP,tk_/ F TP,,,,,,,,,,
F ,,,,,,,,,,,,,,,,,,,,,,,,,,,tk_( EXPRESION tk_),,,,,,,,,,,,,,,,tk_- F,,,,,tk_id E_OP,tk_cadena,tk_entero,tk_decimal,tk_caracter,,,
E_OP,,,,,,,,,,,,,,,,,,,,,,,,,,ε,tk_( ARG tk_),ε,ε,ε,,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,ε,tk_++,tk_--,,,,,,,,
ER,,,,,,,,,,,,,,,,,,,,,,,,,,,E ERP,,,,,,,,,,,,,,,,E ERP,,,,,E ERP,E ERP,E ERP,E ERP,E ERP,,,
ERP,,,,,,,,,,,,,,,,,,,,,,,,,,ε,,ε,ε,ε,,ε,ε,,ε,S_REL E,S_REL E,S_REL E,S_REL E,S_REL E,S_REL E,,,,,,,,,,,,,,
S_REL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tk_>,tk_<,tk_>=,tk_<=,tk_==,tk_!=,,,,,,,,,,,,,,
T_CLASS,,tk_class,tk_interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPO,,,,tk_void,tk_int,tk_boolean,tk_double,tk_string,tk_char ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPM,,,,TIPO tk_id tk_( PARAMETROS tk_) OP_METODO,TIPO tk_id tk_( PARAMETROS tk_) OP_METODO,TIPO tk_id tk_( PARAMETROS tk_) OP_METODO,TIPO tk_id tk_( PARAMETROS tk_) OP_METODO,TIPO tk_id tk_( PARAMETROS tk_) OP_METODO,TIPO tk_id tk_( PARAMETROS tk_) OP_METODO,,,,,,,,,,,,,MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,L_ARG,ε,,,,,,,,,,,,,,,L_ARG,,,,,L_ARG,L_ARG,L_ARG,L_ARG,L_ARG,,,
COMENTARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tk_comentario_s,tk_comentario_m
MAIN,,,,,,,,,,,,,,,,,,,,,,tk_static tk_void tk_main tk_( tk_string tk_id tk_[ tk_] tk_) tk_{ INSTRUCCIONES tk_},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
